25503;'Bouchée à la reine, au poisson et fruits de mer';01;'entrées et plats composés';0106;'feuilletées et autres entrées';000000;'Non spécialisable';860;206;860;206;63,1;6,72;6,72;13,4;13,8;2,43;0;0;0;0;0;0;10,9;1,05;0;1,63;0;;7,41;4,07;0,79;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0,21;44,1;1,13;70,1;0;0,13;1,2;28,3;18,8;0,08;91,2;144;4,95;451;0,78;80,3;21,3;0,77;1,12;0;0;0,9;0,068;0,11;1,14;0,38
25580;'Bouchée à la reine, garnie (aliment moyen)';01;'entrées et plats composés';0106;'feuilletées et autres entrées';000000;'Non spécialisable';1040;249;1040;249;55;6,42;6,42;18,4;16,3;2,52;;;;;;;14,6;1,35;0;1,83;0;0;8,53;5,14;1,25;;;;;;;;;;;;;0,054;0,11;40,2;1,2;55,1;;0,093;0,81;19,2;15,4;0,14;88,6;157;7,48;475;0,66;64,2;64,7;0,45;1,21;;;0,58;0,079;0,097;0,97;0,39
25930;'Bouillon de boeuf, déshydraté reconstitué';01;'entrées et plats composés';0102;'soupes';000000;'Non spécialisable';38,3;9,05;38,3;9,05;97,6;0,6;0,6;1,33;0,15;0,33;0;0;0;0;0;0;0;0;0;1,03;0;;0,057;0,068;0,0072;0;0;0;0;0,00067;0,0048;0,03;0,021;0,068;0,0072;0;0;0;0;0;0,74;5,25;0;0,041;0,15;0;2;0,027;0,01;0,01;0;290;0,048;0;0;0;0,01;0;0;0;0,0029;0,015;0,55;0,016
25948;'Bouillon de légumes, déshydraté reconstitué';01;'entrées et plats composés';0102;'soupes';000000;'Non spécialisable';22,7;5,38;22,7;5,38;98;0,34;0,34;0,65;0,16;0,19;0;0;0;0;0;0;0,2;0;0;1;0;;0,14;0,011;0,0067;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,61;1;0;0;0,1;0;2;0,01;0;8;0;240;0;0;2;0;0;0;0;0;0,11;0,01;0,1;0
25909;'Bouillon de viande et légumes type pot0au0feu, prêt à consommer';01;'entrées et plats composés';0102;'soupes';000000;'Non spécialisable';19,9;4,8;19,9;4,8;98,1;0,2;0,2;0,1;0,4;0;0;0;0;0;0;0;0,1;0;0;1,09;0;;0,2;0,09;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,08;1;0;0;0,1;0;2;0,01;1;15;0;430;0;0;0;0;0;0;0;0;0,06;0,01;0;0,02
25947;'Bouillon de volaille, déshydraté reconstitué';01;'entrées et plats composés';0102;'soupes';000000;'Non spécialisable';23,5;5,58;23,5;5,58;97,4;0,6;0,6;0,5;0,13;0,18;0;0;0;0;0;0;0;0,0001;0;1,44;0;;0,083;0,022;0,018;0;0;0;0;0;0;0,02;0,01;0;0;0;0;0;0;0;0,78;5;0;0;0,05;0;1;0,01;0;10;0;312;0,01;1;0;0;0;0;0;0;0,005;0,01;0,1;0,02
25589;'Boulette végétale au soja et/ou blé, préemballée';01;'entrées et plats composés';0103;'plats composés';010309;'plats végétariens';880;211;880;211;54,7;17,6;17,6;7,98;10,6;3,47;0,42;0,1;1,03;0,1;0,7;1,32;3,2;5,45;;2,92;0;0,79;1,11;4,5;4,45;0,01;0,01;0,05;0,01;0,01;0,02;0,6;0,29;4,29;4,21;0,24;0,01;0,01;0,01;5,19;1,51;73;855;0,22;2,4;20;64;0,85;170;620;20;605;1;21;56;0,25;4,61;12,9;0;0,5;0,048;0,086;0,25;0,22
25211;'Boulettes au boeuf, à la sauce tomate, préemballées';01;'entrées et plats composés';0103;'plats composés';010301;'plats de viande sans garniture';487;117;487;117;0;9;9;5,5;6,5;0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25559;'Brick à la pomme de terre, fait maison, cuit';01;'entrées et plats composés';0106;'feuilletées et autres entrées';000000;'Non spécialisable';898;215;898;215;60,2;3,25;3,25;19,6;13,4;1,5;0;0;0;0;0;0;15,9;1,7;0;1,7;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;1;26,4;0;0,07;0,6;5,9;13,8;0,11;54;252;1,5;400;0,26;14;45;0,14;7,7;0;0;8,8;0,08;0,06;1,06;0,49
25557;'Brick à l'oeuf, fait maison, cuit';01;'entrées et plats composés';0106;'feuilletées et autres entrées';000000;'Non spécialisable';1060;255;1060;255;56,2;10,4;10,4;12,3;18,1;1,6;0;0;0;0;0;0;7,5;0,5;0;2,1;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;264;1,35;70,7;0;0,05;1,4;31;13,8;0,08;141;132;9,6;538;0,83;122;100;1,24;7;0;0;3,6;0,06;0,38;0,32;1,09
